17449 8838 23827 19502 899 27844 27570 17794 24627 21485 
14540 26554 10553 1297 12027 23962 24217 16181 5126 3415 
26369 16989 2987 8271 18604 13546 14236 13046 27014 29478 
6343 16660 6801 32030 5594 8750 29319 30384 19207 10817 
15297 28132 1797 17079 31063 23424 6487 3987 18313 4566 
21968 29935 7006 3553 29015 4264 9610 24208 7144 31832 
23701 5730 31707 27524 29242 31539 28265 31255 14350 26710 
12652 16143 14178 5859 23142 30583 105 16466 16069 23957 
29854 20297 12645 100 4192 4787 14679 12101 30687 10002 
9697 19953 19260 2582 9157 9394 1516 3182 14278 211 
